GeoType,GeoTypeDesc,GeoTypeShortDesc,GeoID,geography,BoroID,Borough,lat,lng,Zip-Codes,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50101,Mott Haven-Port Morris,1,Bronx,40.8075,-73.9172,"10454, 10455",,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50102,Melrose,1,Bronx,40.8183,-73.9129,"10456, 10451",,10457
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50201,Hunts Point,1,Bronx,40.8109,-73.885,10474,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50202,Longwood,1,Bronx,40.821,-73.8966,10459,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50301,Morrisania,1,Bronx,40.8273,-73.9047,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50302,Claremont Village-Claremont (East),1,Bronx,40.8376,-73.9035,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50303,Crotona Park East,1,Bronx,40.8321,-73.8887,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50401,Concourse-Concourse Village,1,Bronx,40.8267,-73.9217,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50402,Highbridge,1,Bronx,40.8369,-73.9278,10452,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50403,Mount Eden-Claremont (West),1,Bronx,40.8405,-73.9144,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50501,University Heights (South)-Morris Heights,1,Bronx,40.8519,-73.9161,10453,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50502,Mount Hope,1,Bronx,40.8499,-73.9044,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50503,Fordham Heights,1,Bronx,40.8587,-73.8991,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50601,West Farms,1,Bronx,40.8413,-73.8786,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50602,Tremont,1,Bronx,40.8469,-73.8918,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50603,Belmont,1,Bronx,40.8576,-73.8871,10458,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50701,University Heights (North)-Fordham,1,Bronx,40.8646,-73.9047,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50702,Bedford Park,1,Bronx,40.8736,-73.8908,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50703,Norwood,1,Bronx,40.8771,-73.879,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50801,Kingsbridge Heights-Van Cortlandt Village,1,Bronx,40.8777,-73.8991,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50802,Kingsbridge-Marble Hill,1,Bronx,40.8808,-73.9057,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50803,Riverdale-Spuyten Duyvil,1,Bronx,40.8957,-73.9088,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50901,Soundview-Bruckner-Bronx River,1,Bronx,40.8296,-73.8732,10472,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50902,Soundview-Clason Point,1,Bronx,40.8161,-73.8591,10473,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50903,Castle Hill-Unionport,1,Bronx,40.8245,-73.8487,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),50904,Parkchester,1,Bronx,40.8377,-73.858,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),51001,Westchester Square,1,Bronx,40.8377,-73.8459,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),51002,Throgs Neck-Schuylerville,1,Bronx,40.8255,-73.8206,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),51003,Pelham Bay-Country Club-City Island,1,Bronx,40.8456,-73.8115,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),51004,Co-op City,1,Bronx,40.8723,-73.8263,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),51101,Pelham Parkway-Van Nest,1,Bronx,40.8479,-73.865,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),51102,Morris Park,1,Bronx,40.8518,-73.8517,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),51103,Pelham Gardens,1,Bronx,40.8642,-73.8467,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),51104,Allerton,1,Bronx,40.864,-73.8642,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),51201,Williamsbridge-Olinville,1,Bronx,40.881,-73.8607,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),51202,Eastchester-Edenwald-Baychester,1,Bronx,40.8815,-73.8366,10,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),51203,Wakefield-Woodlawn,1,Bronx,40.898,-73.854,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470101,Greenpoint,2,Brooklyn,40.7295,-73.9495,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470102,Williamsburg,2,Brooklyn,40.7149,-73.9586,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470103,South Williamsburg,2,Brooklyn,40.7032,-73.9567,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470104,East Williamsburg,2,Brooklyn,40.7133,-73.9365,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470201,Brooklyn Heights,2,Brooklyn,40.6955,-73.9948,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470202,Downtown Brooklyn-DUMBO-Boerum Hill,2,Brooklyn,40.6949,-73.9858,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470203,Fort Greene,2,Brooklyn,40.6912,-73.9744,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470204,Clinton Hill,2,Brooklyn,40.689,-73.9645,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470301,Bedford-Stuyvesant (West),2,Brooklyn,40.689,-73.951,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470302,Bedford-Stuyvesant (East),2,Brooklyn,40.6866,-73.9318,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470401,Bushwick (West),2,Brooklyn,40.701,-73.9253,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470402,Bushwick (East),2,Brooklyn,40.6912,-73.913,,,
NTA2020,Neighborhood Tabulation Area,Neighborhood (NTA),470501,Cypress Hills,2,Brooklyn,40.6825,-73.8821,,,
