Time,Geography,Walkability Percent
2017,Claremont-Bathgate,100
2017,Eastchester-Edenwald-Baychester,77
2017,Bedford Park-Fordham North,97
2017,Belmont,95
2017,Bronxdale,99
2017,West Farms-Bronx River,99
2017,Soundview-Castle Hill-Clason Point-Harding Park,94
2017,Pelham Bay-Country Club-City Island,69
2017,Co-op City,29
2017,East Concourse-Concourse Village,100
2017,East Tremont,99
2017,North Riverdale-Fieldston-Riverdale,77
2017,Highbridge,95
2017,Hunts Point,84
2017,Van Cortlandt Village,97
2017,Spuyten Duyvil-Kingsbridge,98
2017,Kingsbridge Heights,94
2017,Allerton-Pelham Gardens,79
2017,Longwood,100
2017,Melrose South-Mott Haven North,99
2017,Morrisania-Melrose,100
2017,University Heights-Morris Heights,99
2017,Van Nest-Morris Park-Westchester Square,71
2017,Mott Haven-Port Morris,94
2017,Fordham South,100
2017,Mount Hope,100
2017,Norwood,100
2017,Williamsbridge-Olinville,62
2017,Parkchester,63
2017,Pelham Parkway,84
2017,Schuylerville-Throgs Neck-Edgewater Park,55
2017,Soundview-Bruckner,93
2017,Westchester-Unionport,83
2017,Woodlawn-Wakefield,49
2017,West Concourse,100
2017,Crotona Park East,99
2017,Brooklyn Heights-Cobble Hill,100
2017,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,78
2017,Brighton Beach,98
2017,Seagate-Coney Island,92
2017,West Brighton,91
2017,Homecrest,79
2017,Gravesend,85
2017,Bath Beach,92
2017,Bensonhurst West,70
2017,Bensonhurst East,53
2017,Dyker Heights,77
2017,Bay Ridge,84
2017,Sunset Park West,83
2017,Carroll Gardens-Columbia Street-Red Hook,91
2017,Sunset Park East,84
2017,Stuyvesant Heights,96
2017,Park Slope-Gowanus,91
2017,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,99
2017,Windsor Terrace,100
2017,Kensington-Ocean Parkway,87
2017,Flatbush,65
2017,Midwood,45
2017,Madison,61
2017,Georgetown-Marine Park-Bergen Beach-Mill Basin,87
2017,Ocean Parkway South,94
2017,Canarsie,78
2017,Flatlands,67
2017,Prospect Lefferts Gardens-Wingate,80
2017,Crown Heights North,91
2017,Crown Heights South,96
2017,Prospect Heights,97
2017,Fort Greene,100
2017,Clinton Hill,93
2017,Williamsburg,94
2017,North Side-South Side,98
2017,Bedford,96
2017,Greenpoint,89
2017,Bushwick North,91
2017,Bushwick South,89
2017,Ocean Hill,99
2017,Brownsville,100
2017,East New York,84
2017,Cypress Hills-City Line,67
2017,East New York (Pennsylvania Ave),98
2017,Borough Park,63
2017,East Williamsburg,93
2017,East Flatbush-Farragut,54
2017,Starrett City,95
2017,Erasmus,47
2017,Rugby-Remsen Village,67
2017,Marble Hill-Inwood,94
2017,Central Harlem North-Polo Grounds,99
2017,Hamilton Heights,100
2017,Manhattanville,99
2017,Morningside Heights,99
2017,Central Harlem South,100
2017,Upper West Side,99
2017,Hudson Yards-Chelsea-Flatiron-Union Square,91
2017,Lincoln Square,100
2017,Clinton,96
2017,Midtown-Midtown South,92
2017,Turtle Bay-East Midtown,84
2017,Murray Hill-Kips Bay,92
2017,Gramercy,100
2017,East Village,100
2017,West Village,99
2017,SoHo-TriBeCa-Civic Center-Little Italy,100
2017,Battery Park City-Lower Manhattan,98
2017,Chinatown,100
2017,Lower East Side,100
2017,Lenox Hill-Roosevelt Island,92
2017,Yorkville,94
2017,East Harlem South,100
2017,East Harlem North,100
2017,Washington Heights North,100
2017,Washington Heights South,100
2017,Upper East Side-Carnegie Hill,100
2017,Stuyvesant Town-Cooper Village,100
2017,South Jamaica,84
