Time,Geography,Degrees Fahrenheit
2018,New York City,98.6
2018,Bronx,97.1
2018,Brooklyn,98.6
2018,Manhattan,98.3
2018,Queens,100
2018,Staten Island,97.4
2018,Kingsbridge - Riverdale,92.2
2018,Northeast Bronx,99.2
2018,Fordham - Bronx Pk,95.5
2018,Pelham - Throgs Neck,96
2018,Crotona -Tremont,97.7
2018,High Bridge - Morrisania,99.4
2018,Hunts Point - Mott Haven,100.7
2018,Greenpoint,99.6
2018,Downtown - Heights - Slope,97.6
2018,Bedford Stuyvesant - Crown Heights,98.5
2018,East New York,99.9
2018,Sunset Park,96.3
2018,Borough Park,98.6
2018,East Flatbush - Flatbush,98
2018,Canarsie - Flatlands,95.9
2018,Bensonhurst - Bay Ridge,94.8
2018,Coney Island - Sheepshead Bay,97.1
2018,Williamsburg - Bushwick,100.6
2018,Washington Heights,94
2018,Central Harlem - Morningside Heights,97.4
2018,East Harlem,97.6
2018,Upper West Side,95.5
2018,Upper East Side,96.4
2018,Chelsea - Clinton,98.3
2018,Gramercy Park - Murray Hill,97.5
2018,Greenwich Village - SoHo,98
2018,Union Square - Lower East Side,97.8
2018,Lower Manhattan,93.5
2018,Long Island City - Astoria,99.1
2018,West Queens,99.9
2018,Flushing - Clearview,99.4
2018,Bayside - Little Neck,96.6
2018,Ridgewood - Forest Hills,96.6
2018,Fresh Meadows,98.6
2018,Southwest Queens,100.3
2018,Jamaica,101.4
2018,Southeast Queens,100.6
2018,Rockaways,92.7
2018,Port Richmond,99.1
2018,Stapleton - St. George,95
2018,Willowbrook,94.8
2018,South Beach - Tottenville,94.9
2018,Financial District (CD1),94
2018,Greenwich Village and Soho (CD2),98.3
2018,Lower East Side and Chinatown (CD3),97.6
2018,Clinton and Chelsea (CD4),98.5
2018,Midtown (CD5),98
2018,Stuyvesant Town and Turtle Bay (CD6),97.4
2018,Upper West Side (CD7),95.6
2018,Upper East Side (CD8),96.5
2018,Morningside Heights and Hamilton Heights (CD9),95.5
2018,Central Harlem (CD10),98.3
2018,East Harlem (CD11),97.4
2018,Washington Heights and Inwood (CD12),93.7
2018,Mott Haven and Melrose (CD1),100.6
2018,Hunts Point and Longwood (CD2),100.8
2018,Morrisania and Crotona (CD3),99.4
2018,Highbridge and Concourse (CD4),98.4
2018,Fordham and University Heights (CD5),98.1
2018,Belmont and East Tremont (CD6),99.4
2018,Kingsbridge Heights and Bedford (CD7),97.1
2018,Riverdale and Fieldston (CD8),93.5
2018,Parkchester and Soundview (CD9),98.5
2018,Throgs Neck and Co-op City (CD10),97.1
2018,Morris Park and Bronxdale (CD11),100.1
2018,Williamsbridge and Baychester (CD12),98.3
2018,Greenpoint and Williamsburg (CD1),100.4
2018,Fort Greene and Brooklyn Heights (CD2),97.7
2018,Bedford Stuyvesant (CD3),98.9
2018,Bushwick (CD4),99.5
2018,East New York and Starrett City (CD5),100
2018,Park Slope and Carroll Gardens (CD6),97.2
2018,Sunset Park (CD7),96.5
2018,Crown Heights and Prospect Heights (CD8),97.5
2018,South Crown Heights and Lefferts Gardens (CD9),97.6
2018,Bay Ridge and Dyker Heights (CD10),94.3
2018,Bensonhurst (CD11),96.3
2018,Borough Park (CD12),99.4
2018,Coney Island (CD13),96.1
2018,Flatbush and Midwood (CD14),98.6
2018,Sheepshead Bay (CD15),97.7
2018,Brownsville (CD16),100.9
2018,East Flatbush (CD17),99.5
2018,Flatlands and Canarsie (CD18),98.2
2018,Long Island City and Astoria (CD1),98.5
2018,Woodside and Sunnyside (CD2),100
2018,Jackson Heights (CD3),99.7
2018,Elmhurst and Corona (CD4),100.7
2018,Ridgewood and Maspeth (CD5),97.6
2018,Rego Park and Forest Hills (CD6),98.8
2018,Flushing and Whitestone (CD7),99.4
2018,Hillcrest and Fresh Meadows (CD8),98.6
2018,Kew Gardens and Woodhaven (CD9),101.1
2018,South Ozone Park and Howard Beach (CD10),99.9
2018,Bayside and Little Neck (CD11),97.7
2018,Jamaica and Hollis (CD12),102.2
2018,Queens Village (CD13),100.8
2018,Rockaway and Broad Channel (CD14),94.8
2018,St. George and Stapleton (CD1),97.6
2018,South Beach and Willowbrook (CD2),94.6
2018,Tottenville and Great Kills (CD3),95.1
2018,Claremont-Bathgate,100
2018,Eastchester-Edenwald-Baychester,99.8
2018,Bedford Park-Fordham North,97.4
2018,Belmont,98.7
2018,Bronxdale,98.4
2018,West Farms-Bronx River,98.5
2018,Soundview-Castle Hill-Clason Point-Harding Park,98.7
2018,Pelham Bay-Country Club-City Island,97.1
2018,Co-op City,97.2
2018,East Concourse-Concourse Village,99.2
2018,East Tremont,99.6
2018,North Riverdale-Fieldston-Riverdale,93.8
