Geography,Time,Coverage Percentage
Claremont-Bathgate,2017,21.7
Eastchester-Edenwald-Baychester,2017,38.1
Bedford Park-Fordham North,2017,17.3
Belmont,2017,24.4
Bronxdale,2017,26.9
West Farms-Bronx River,2017,21.8
Soundview-Castle Hill-Clason Point-Harding Park,2017,33.7
Pelham Bay-Country Club-City Island,2017,36.9
Co-op City,2017,33.9
East Concourse-Concourse Village,2017,15
East Tremont,2017,20.2
North Riverdale-Fieldston-Riverdale,2017,63.4
Highbridge,2017,24
Hunts Point,2017,11.2
Van Cortlandt Village,2017,26.8
Spuyten Duyvil-Kingsbridge,2017,39.2
Kingsbridge Heights,2017,25.7
Allerton-Pelham Gardens,2017,31.6
Longwood,2017,18.4
Melrose South-Mott Haven North,2017,23.2
Morrisania-Melrose,2017,24.3
University Heights-Morris Heights,2017,26.4
Van Nest-Morris Park-Westchester Square,2017,23.9
Mott Haven-Port Morris,2017,20.2
Fordham South,2017,11.4
Mount Hope,2017,14.1
Norwood,2017,29.5
Williamsbridge-Olinville,2017,24
Parkchester,2017,34.5
Pelham Parkway,2017,35.2
Schuylerville-Throgs Neck-Edgewater Park,2017,45
Soundview-Bruckner,2017,24.5
Westchester-Unionport,2017,18.3
Woodlawn-Wakefield,2017,29.5
West Concourse,2017,19.2
Crotona Park East,2017,23
Brooklyn Heights-Cobble Hill,2017,27
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2017,25.2
Brighton Beach,2017,16.8
Seagate-Coney Island,2017,18.3
West Brighton,2017,24.9
Homecrest,2017,20.6
Gravesend,2017,29.6
Bath Beach,2017,22.1
Bensonhurst West,2017,14.3
Bensonhurst East,2017,14.6
Dyker Heights,2017,20.2
Bay Ridge,2017,31.2
Sunset Park West,2017,10.7
Carroll Gardens-Columbia Street-Red Hook,2017,19.7
Sunset Park East,2017,17.9
Stuyvesant Heights,2017,26.6
Park Slope-Gowanus,2017,22.5
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2017,22.8
Windsor Terrace,2017,28
Kensington-Ocean Parkway,2017,23.1
Flatbush,2017,30.3
Midwood,2017,28.8
Madison,2017,24.1
Georgetown-Marine Park-Bergen Beach-Mill Basin,2017,34.4
Ocean Parkway South,2017,32.9
Canarsie,2017,34.7
Flatlands,2017,24.3
Prospect Lefferts Gardens-Wingate,2017,21
Crown Heights North,2017,25.2
Crown Heights South,2017,19.4
Prospect Heights,2017,24.2
Fort Greene,2017,33.4
Clinton Hill,2017,27.5
Williamsburg,2017,23.4
