Geography,Coverage Percentage,Degrees Fahrenheit,Walkability Percent,Latitude,Longitude
Greenpoint,12.4,99.6,89,40.7237134,-73.9509714
East New York,33.8,99.9,84,40.6667702,-73.8823583
Borough Park,22.6,98.6,63,40.633993,-73.9968059
Upper West Side,32.1,95.5,99,40.7870455,-73.9754163
Jamaica,15,101.4,90,40.7029134,-73.8006429
Port Richmond,36.4,99.1,56,40.6331592,-74.1365318
Claremont-Bathgate,21.7,100,100,,
Eastchester-Edenwald-Baychester,38.1,99.8,77,,
Bedford Park-Fordham North,17.3,97.4,97,,
Belmont,24.4,98.7,95,42.2231241,-78.0344506
Bronxdale,26.9,98.4,99,40.8506558,-73.8665241
West Farms-Bronx River,21.8,98.5,99,40.8412905,-73.8778302
Soundview-Castle Hill-Clason Point-Harding Park,33.7,98.7,94,,
Pelham Bay-Country Club-City Island,36.9,97.1,69,,
Co-op City,33.9,97.2,29,40.8738889,-73.8294444
East Concourse-Concourse Village,15,99.2,100,40.8253218,-73.9187183
East Tremont,20.2,99.6,99,40.8453781,-73.8909693
North Riverdale-Fieldston-Riverdale,63.4,93.8,77,,
Highbridge,24,98.3,95,40.84591775,-73.92984479
Hunts Point,11.2,100.4,84,40.8126008,-73.8840247
Van Cortlandt Village,26.8,95.6,97,41.2054773,-73.8901119
Spuyten Duyvil-Kingsbridge,39.2,96,98,,
Kingsbridge Heights,25.7,97.3,94,40.8725702,-73.9026619
Allerton-Pelham Gardens,31.6,100.3,79,,
Longwood,18.4,100.5,100,42.9531152,-78.3694646
Melrose South-Mott Haven North,23.2,101.1,99,,
Morrisania-Melrose,24.3,99.6,100,40.8265416,-73.90420292
University Heights-Morris Heights,26.4,97.8,99,40.8502266,-73.9289147
Van Nest-Morris Park-Westchester Square,23.9,100.6,71,,
Mott Haven-Port Morris,20.2,99.8,94,40.807837,-73.90642493
Fordham South,11.4,97.9,100,40.746512,-73.509785
Mount Hope,14.1,98.4,100,41.4445382,-74.5218263
Norwood,29.5,95.8,100,44.75161,-74.994392
Williamsbridge-Olinville,24,98.9,62,,
Parkchester,34.5,99.1,63,40.8332047,-73.8609723
Pelham Parkway,35.2,99,84,40.857229,-73.8676281
Schuylerville-Throgs Neck-Edgewater Park,45,98.3,55,,
Soundview-Bruckner,24.5,98,93,,
Westchester-Unionport,18.3,100.1,83,40.8338728,-73.8573014
Woodlawn-Wakefield,29.5,99.2,49,,
West Concourse,19.2,97.9,100,40.704992,-73.251255
Crotona Park East,23,100,99,40.8366261,-73.8925344
Brooklyn Heights-Cobble Hill,27,95.7,100,40.6905236,-73.9946003
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25.2,96.2,78,,
Brighton Beach,16.8,95.5,98,40.57964365,-73.96111023
Seagate-Coney Island,18.3,95.4,92,40.5801174,-74.0061411
West Brighton,24.9,95.9,91,40.5777777,-73.97493452
Homecrest,20.6,99.8,79,40.58611335,-73.95729941
Gravesend,29.6,97.1,85,40.5961338,-73.9739426
Bath Beach,22.1,93.9,92,40.6018495,-74.000501
Bensonhurst West,14.3,96.6,70,,
Bensonhurst East,14.6,97.4,53,,
Dyker Heights,20.2,96.1,77,40.6204716,-74.0116668
Bay Ridge,31.2,94,84,40.6320062,-74.0232101
Sunset Park West,10.7,97.5,83,,
Carroll Gardens-Columbia Street-Red Hook,19.7,97,91,40.6816299,-74.0022455
Sunset Park East,17.9,96.7,84,42.6199174,-73.7183387
Stuyvesant Heights,26.6,98.4,96,42.387863,-73.775751
Park Slope-Gowanus,22.5,96.5,91,40.6797027,-73.9817608
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,22.8,98.1,99,,
Windsor Terrace,28,95.6,100,40.65348695,-73.97719596
Kensington-Ocean Parkway,23.1,97.9,87,,
Flatbush,30.3,97.1,65,40.6520481,-73.959027
Midwood,28.8,100,45,40.6188823,-73.9654889
Madison,24.1,99.6,61,42.875882,-75.6802581
Georgetown-Marine Park-Bergen Beach-Mill Basin,34.4,99.4,87,,
Ocean Parkway South,32.9,99.9,94,,
Canarsie,34.7,99.2,78,40.643715,-73.9006921
Flatlands,24.3,100.5,67,40.6212155,-73.9348597
Prospect Lefferts Gardens-Wingate,21,97.8,80,,
Crown Heights North,25.2,97.8,91,40.66892195,-73.93293553
Crown Heights South,19.4,97,96,,
Prospect Heights,24.2,96.6,97,40.6778708,-73.9684725
Fort Greene,33.4,97.6,100,40.6907711,-73.9766245
Clinton Hill,27.5,97.9,93,40.6897222,-73.9652778
Williamsburg,23.4,100.9,94,40.714622,-73.95345
North Side-South Side,16.2,99.3,98,42.8354089,-78.8672883
Bedford,23,99.1,96,41.2041304,-73.642509
Greenpoint,12.4,98.7,89,40.7237134,-73.9509714
Bushwick North,14.7,99.5,91,40.7856466,-73.0255008
Bushwick South,18.6,100.7,89,40.6942867,-73.92588361
