geography,Coverage Percentage,Degrees Fahrenheit,Walkability Percent,lat,lng,zip
Greenpoint,12.4,99.6,89,40.7202,-73.9497,11222
East New York,33.8,99.9,84,40.6721,-73.883,11208
Borough Park,22.6,98.6,63,40.6284,-73.9804,11204
Upper West Side,32.1,95.5,99,40.7884,-73.9756,10024
Jamaica,15,101.4,90,40.696,-73.7831,11433
Port Richmond,36.4,99.1,56,40.6324,-74.1469,10303
Claremont-Bathgate,21.7,100,100,40.8427,-73.9003,10457
Eastchester-Edenwald-Baychester,38.1,99.8,77,40.8809,-73.8366,10475
Bedford Park-Fordham North,17.3,97.4,97,40.8677,-73.8902,10458
Belmont,24.4,98.7,95,40.8578,-73.8859,10458
Bronxdale,26.9,98.4,99,40.864,-73.8649,10467
West Farms-Bronx River,21.8,98.5,99,40.8342,-73.8723,10472
Soundview-Castle Hill-Clason Point-Harding Park,33.7,98.7,94,40.8181,-73.8562,10473
Pelham Bay-Country Club-City Island,36.9,97.1,69,40.8466,-73.8065,10469
Co-op City,33.9,97.2,29,40.874,-73.8283,10475
East Concourse-Concourse Village,15,99.2,100,40.8305,-73.9158,10456
East Tremont,20.2,99.6,99,40.845,-73.8855,10460
North Riverdale-Fieldston-Riverdale,63.4,93.8,77,40.8995,-73.907,10471
Highbridge,24,98.3,95,40.8378,-73.9262,10452
Hunts Point,11.2,100.4,84,40.8121,-73.8855,10474
Van Cortlandt Village,26.8,95.6,97,40.8765,-73.8956,10468
Spuyten Duyvil-Kingsbridge,39.2,96,98,40.8824,-73.9107,10463
Kingsbridge Heights,25.7,97.3,94,40.8653,-73.9059,10468
Allerton-Pelham Gardens,31.6,100.3,79,40.8645,-73.8474,10469
Longwood,18.4,100.5,100,40.8197,-73.899,10459
Melrose South-Mott Haven North,23.2,101.1,99,40.8183,-73.9129,10455
Morrisania-Melrose,24.3,99.6,100,40.8275,-73.9024,10456
University Heights-Morris Heights,26.4,97.8,99,40.8525,-73.916,10453
Van Nest-Morris Park-Westchester Square,23.9,100.6,71,40.8468,-73.8507,10461
Mott Haven-Port Morris,20.2,99.8,94,40.8073,-73.9168,10454
Fordham South,11.4,97.9,100,40.8582,-73.8995,10468
Mount Hope,14.1,98.4,100,40.8491,-73.9051,10457
Norwood,29.5,95.8,100,40.8771,-73.879,10467
Williamsbridge-Olinville,24,98.9,62,40.8822,-73.8589,10467
Parkchester,34.5,99.1,63,40.8377,-73.858,10462
Pelham Parkway,35.2,99,84,40.8562,-73.8525,10461
Schuylerville-Throgs Neck-Edgewater Park,45,98.3,55,40.8233,-73.8236,10465
Soundview-Bruckner,24.5,98,93,40.8279,-73.8697,10472
Westchester-Unionport,18.3,100.1,83,40.8321,-73.8486,10462
Woodlawn-Wakefield,29.5,99.2,49,40.8979,-73.8522,10466
West Concourse,19.2,97.9,100,40.829,-73.9244,10452
Crotona Park East,23,100,99,40.834,-73.8859,10460
Brooklyn Heights-Cobble Hill,27,95.7,100,40.6955,-73.9949,11201
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25.2,96.2,78,40.5883,-73.9415,11235
Brighton Beach,16.8,95.5,98,40.5809,-73.9612,11235
Seagate-Coney Island,18.3,95.4,92,40.5765,-73.9912,11224
West Brighton,24.9,95.9,91,40.5791,-73.9734,11224
Homecrest,20.6,99.8,79,40.6,-73.9643,11223
Gravesend,29.6,97.1,85,40.5884,-73.9814,11223
Bath Beach,22.1,93.9,92,40.6043,-74.0075,11214
Bensonhurst West,14.3,96.6,70,40.6122,-73.9953,11214
Bensonhurst East,14.6,97.4,53,40.6014,-73.9835,11223
Dyker Heights,20.2,96.1,77,40.6224,-74.0121,11228
Bay Ridge,31.2,94,84,40.6229,-74.0239,11209
Sunset Park West,10.7,97.5,83,40.6524,-74.0112,11232
Carroll Gardens-Columbia Street-Red Hook,19.7,97,91,40.6788,-74.0039,11231
Sunset Park East,17.9,96.7,84,40.6419,-74.0046,11220
Stuyvesant Heights,26.6,98.4,96,40.6882,-73.9319,11221
Park Slope-Gowanus,22.5,96.5,91,40.6712,-73.9839,11215
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,22.8,98.1,99,40.6929,-73.986,11201
Windsor Terrace,28,95.6,100,40.6536,-73.978,11218
Kensington-Ocean Parkway,23.1,97.9,87,40.6406,-73.9762,11218
Flatbush,30.3,97.1,65,40.6304,-73.9591,11230
Midwood,28.8,100,45,40.6209,-73.9568,11230
Madison,24.1,99.6,61,40.6049,-73.9481,11229
Georgetown-Marine Park-Bergen Beach-Mill Basin,34.4,99.4,87,40.6146,-73.9152,11234
Ocean Parkway South,32.9,99.9,94,40.6173,-73.9703,11230
Canarsie,34.7,99.2,78,40.638,-73.8998,11236
Flatlands,24.3,100.5,67,40.6263,-73.9301,11234
Prospect Lefferts Gardens-Wingate,21,97.8,80,40.6587,-73.9474,11203
Crown Heights North,25.2,97.8,91,40.6745,-73.9393,11213
Crown Heights South,19.4,97,96,40.6665,-73.9488,11225
